lockL3,lockL4,lockL5,lockL6,station_eu_code
-0.24329939396981104,-0.35195342610171576,-0.2932309738144031,NA,IT1663A
NA,-0.29136300393256687,-0.33733891602466204,NA,IT1679A
-0.2982101934221967,-0.5516384713783118,-0.3178019301162891,-0.16146423067978322,IT1680A
-0.42003977132679104,-0.4425757959542841,-0.37886538366680145,NA,IT1701A
-0.23573543795240648,-0.4150048709177382,-0.27600901206091566,NA,IT2018A
-0.1668562737614533,-0.4010254506020222,-0.19608433951190096,NA,IT2021A
-0.49866550103956686,-0.6605276855101381,-0.47258165193331714,NA,IT2044A
-0.22414316188408334,-0.19301937764046784,NA,NA,IT2137A
NA,-0.1756722526824751,NA,NA,IT2143A
NA,-0.30281567563986433,NA,0.21962882383563076,IT2144A
-0.13770292066330225,-0.41617689301237415,-0.2810700439844903,-0.2730562551008616,IT2145A
NA,-0.47593395014348894,NA,NA,IT2146A
-0.1574531571139397,-0.29774465701783037,-0.27430931055972374,-0.14760935108389261,IT2148A
-0.35039557972160096,-0.33947337308474146,-0.38786680278362917,NA,IT1674A
NA,-0.38843904537425467,NA,NA,IT1740A
NA,NA,NA,NA,IT1742A
NA,NA,NA,NA,IT2204A
-0.1837264093101978,-0.2268081701347735,NA,NA,IT2205A
-0.1974414554799595,-0.29274107055142073,NA,NA,IT1938A
-0.6043102618354599,-0.819250407543225,-0.5387354836459435,NA,IT1989A
-0.363325818388884,-0.5277812997325966,NA,0.25381637613119024,IT2028A
-0.32410395805398684,-0.3994797618306193,NA,NA,IT2031A
NA,NA,NA,NA,IT2078A
-0.5958205960714218,-0.3976204221370212,NA,NA,IT2087A
-0.329674486514015,-0.49220834186528706,NA,0.24913461498099454,IT2091A
-0.39490546887471634,-0.529349755111125,-0.25842639692352354,NA,IT2092A
NA,NA,NA,0.23421721700755493,IT2110A
0.6334275221872374,0.6315741254160312,NA,NA,IT2111A
NA,-0.5240534134766899,-0.4660643107743563,-0.3513987078545623,IT0611A
NA,-0.39714888093580436,-0.22657365510049077,NA,IT0614A
-0.20002943605114076,-0.45993892343833376,NA,NA,IT0618A
-0.3864874332404773,-0.6254025038590059,-0.3086054914910905,NA,IT0620A
-0.5431041106837426,-0.792572459660175,-0.7145850931482309,-0.5647429818691123,IT1346A
-0.24372404827411143,-0.477583799118922,-0.341393669513646,NA,IT1552A
NA,0.40751013139664294,0.6089047980732696,0.6743030203919325,IT1888A
0.2636511988519321,-0.27104939566454467,-0.5541009511232632,-0.3992407007826215,IT1889A
-0.2784491259676646,-0.25846117281826375,NA,NA,IT1890A
NA,NA,NA,NA,IT0977A
-0.21130866515967306,-0.4584212699675504,NA,NA,IT0983A
-0.2870594742599786,NA,NA,NA,IT0988A
NA,-0.38807437659315736,-0.3138289899217056,NA,IT2233A
-0.5698346168008586,-0.6080040260697148,-0.45731924149303294,-0.26979275784789614,IT1243A
NA,NA,NA,NA,IT1269A
