"data","station_eu_code","value"
2020-03-27,"IT0828A",-10.6666666666667
2020-03-28,"IT0828A",-18.9166666666667
2020-03-29,"IT0828A",-26.9583333333333
2020-03-30,"IT0828A",-16.4583333333333
2020-03-31,"IT0828A",-22.9166666666667
2020-04-01,"IT0828A",-28.875
2020-04-02,"IT0828A",-105.333333333333
2020-04-03,"IT0828A",-16.375
2020-04-04,"IT0828A",-23.3333333333333
2020-04-05,"IT0828A",-29.0833333333333
2020-04-06,"IT0828A",-17.2083333333333
2020-04-07,"IT0828A",-14.0833333333333
2020-04-08,"IT0828A",-659.166666666667
2020-04-09,"IT0828A",-14.0416666666667
2020-04-10,"IT0828A",-9.20833333333333
2020-04-11,"IT0828A",-12.5416666666667
2020-04-12,"IT0828A",-24.7083333333333
2020-04-13,"IT0828A",-29.1666666666667
2020-04-14,"IT0828A",-5.08333333333333
2020-04-15,"IT0828A",-23.75
2020-04-16,"IT0828A",-15.75
2020-04-17,"IT0828A",-15.625
2020-04-18,"IT0828A",-26.7916666666667
2020-04-19,"IT0828A",-29.7916666666667
2020-04-20,"IT0828A",-13
2020-04-21,"IT0828A",-9.20833333333333
2020-04-22,"IT0828A",-9.33333333333333
2020-04-23,"IT0828A",-17.625
2020-04-24,"IT0828A",-17.125
2020-04-25,"IT0828A",-28.875
2020-04-26,"IT0828A",-30.375
2020-04-27,"IT0828A",-20.5
2020-04-28,"IT0828A",-17.0833333333333
2020-04-29,"IT0828A",-26.9583333333333
2020-04-30,"IT0828A",-18.7916666666667
2020-05-01,"IT0828A",-32.3333333333333
2020-05-02,"IT0828A",-28.375
2020-05-03,"IT0828A",-30.3333333333333
2020-05-04,"IT0828A",-16.2916666666667
2020-05-05,"IT0828A",-8.95833333333333
2020-05-06,"IT0828A",-16.5
2020-05-07,"IT0828A",-16.4583333333333
2020-05-08,"IT0828A",-15.7916666666667
2020-05-09,"IT0828A",-14
2020-05-10,"IT0828A",-21.7916666666667
2020-05-11,"IT0828A",-17.4166666666667
2020-05-12,"IT0828A",-18.2916666666667
2020-05-13,"IT0828A",-9.5
2020-05-14,"IT0828A",-2.5
2020-05-15,"IT0828A",-21.125
2020-05-16,"IT0828A",-12.9166666666667
2020-05-17,"IT0828A",-25.7916666666667
2020-05-18,"IT0828A",-2.625
2020-05-19,"IT0828A",-21.0416666666667
2020-05-20,"IT0828A",-10.5833333333333
2020-05-21,"IT0828A",-14.4166666666667
2020-05-22,"IT0828A",-11.375
2020-05-23,"IT0828A",-11.1666666666667
2020-05-24,"IT0828A",-19.8333333333333
2020-05-25,"IT0828A",-12.1666666666667
2020-05-26,"IT0828A",-4.70833333333333
2020-05-27,"IT0828A",-12.8333333333333
2020-05-28,"IT0828A",-395.208333333333
2020-05-29,"IT0828A",-211.083333333333
2020-05-30,"IT0828A",-0.458333333333333
2020-05-31,"IT0828A",-18.7083333333333
2020-06-01,"IT0828A",-9.375
2020-06-02,"IT0828A",-19.4583333333333
2020-06-03,"IT0828A",-10.9166666666667
2020-06-04,"IT0828A",-9.875
2020-06-05,"IT0828A",-12.2083333333333
2020-06-06,"IT0828A",-14.5416666666667
2020-06-07,"IT0828A",-16.3333333333333
2020-06-08,"IT0828A",-18.6666666666667
2020-06-09,"IT0828A",-16.0833333333333
2020-06-10,"IT0828A",-20.4166666666667
2020-06-11,"IT0828A",4.75
2020-06-12,"IT0828A",-5
2020-06-13,"IT0828A",-8.45833333333333
2020-06-14,"IT0828A",-24.5
2020-06-15,"IT0828A",-11.875
2020-06-16,"IT0828A",-15
2020-06-17,"IT0828A",-11.125
2020-06-18,"IT0828A",-11.9583333333333
2020-06-19,"IT0828A",-5.79166666666667
2020-06-20,"IT0828A",-9
2020-06-21,"IT0828A",-13.1666666666667
2020-06-22,"IT0828A",-1.95833333333333
2020-06-23,"IT0828A",4.5
2020-06-24,"IT0828A",3.70833333333333
2020-06-25,"IT0828A",5.5
2020-06-26,"IT0828A",3.125
2020-06-27,"IT0828A",5.45833333333333
2020-06-28,"IT0828A",-10.0416666666667
2020-06-29,"IT0828A",-15.125
2020-06-30,"IT0828A",-10.5416666666667
2020-01-01,"IT0956A",14.4583333333333
2020-01-02,"IT0956A",33.7916666666667
2020-01-03,"IT0956A",29.2083333333333
2020-01-04,"IT0956A",18.4583333333333
2020-01-05,"IT0956A",-1.95833333333333
2020-01-06,"IT0956A",-8.33333333333333
2020-01-07,"IT0956A",-60.5416666666667
2020-01-08,"IT0956A",26.375
2020-01-09,"IT0956A",32.3333333333333
2020-01-10,"IT0956A",35.4583333333333
2020-01-11,"IT0956A",20.9166666666667
2020-01-12,"IT0956A",14.9166666666667
2020-01-13,"IT0956A",23.2916666666667
2020-01-14,"IT0956A",24.1666666666667
2020-01-15,"IT0956A",28.3333333333333
2020-01-16,"IT0956A",23.4166666666667
2020-01-17,"IT0956A",22.0416666666667
2020-01-18,"IT0956A",9.25
2020-01-19,"IT0956A",-7.20833333333333
2020-01-20,"IT0956A",-1.16666666666667
2020-01-21,"IT0956A",9.25
2020-01-22,"IT0956A",16.125
2020-01-23,"IT0956A",17.7083333333333
2020-01-24,"IT0956A",25.5416666666667
2020-01-25,"IT0956A",7.5
2020-01-26,"IT0956A",3.79166666666667
2020-01-27,"IT0956A",3.79166666666667
2020-01-28,"IT0956A",-7.16666666666667
2020-01-29,"IT0956A",10.5
2020-01-30,"IT0956A",10.875
2020-01-31,"IT0956A",20
2020-02-01,"IT0956A",17.6666666666667
2020-02-02,"IT0956A",-5.75
2020-02-03,"IT0956A",4.79166666666667
2020-02-04,"IT0956A",-12.2916666666667
2020-02-05,"IT0956A",-23.4583333333333
2020-02-06,"IT0956A",-11.4583333333333
2020-02-07,"IT0956A",15.2083333333333
2020-02-08,"IT0956A",17.1666666666667
2020-02-09,"IT0956A",-5.54166666666667
2020-02-10,"IT0956A",-4.16666666666667
2020-02-11,"IT0956A",-5.16666666666667
2020-02-12,"IT0956A",10
2020-02-13,"IT0956A",-0.416666666666667
2020-02-14,"IT0956A",-6.66666666666667
2020-02-15,"IT0956A",10.1666666666667
2020-02-16,"IT0956A",5.5
2020-02-17,"IT0956A",14.625
2020-02-18,"IT0956A",9.66666666666667
2020-02-19,"IT0956A",5.54166666666667
2020-02-20,"IT0956A",4.79166666666667
2020-02-21,"IT0956A",10.5416666666667
2020-02-22,"IT0956A",4.66666666666667
2020-02-23,"IT0956A",-2.79166666666667
2020-02-24,"IT0956A",-14.25
2020-02-25,"IT0956A",-14.0416666666667
2020-02-26,"IT0956A",-193.125
2020-02-27,"IT0956A",-53.0833333333333
2020-02-28,"IT0956A",-13.4166666666667
2020-02-29,"IT0956A",-8.625
2020-03-01,"IT0956A",-30
2020-03-02,"IT0956A",-25
2020-03-03,"IT0956A",-17.8333333333333
2020-03-04,"IT0956A",-55.1666666666667
2020-03-05,"IT0956A",-16.375
2020-03-06,"IT0956A",-534.708333333333
2020-03-07,"IT0956A",-526.25
2020-03-08,"IT0956A",-25.7083333333333
2020-03-09,"IT0956A",-9.54166666666667
2020-03-10,"IT0956A",-5.58333333333333
2020-03-11,"IT0956A",-7.66666666666667
2020-03-12,"IT0956A",-17.625
2020-03-13,"IT0956A",-12.7916666666667
2020-03-14,"IT0956A",-24.5833333333333
2020-03-15,"IT0956A",-29.0833333333333
2020-03-16,"IT0956A",-97.5
2020-03-17,"IT0956A",-4.58333333333333
2020-03-18,"IT0956A",-5.125
2020-03-19,"IT0956A",-3.58333333333333
2020-03-20,"IT0956A",-2.875
2020-03-21,"IT0956A",-2
2020-03-22,"IT0956A",-20.8333333333333
2020-03-23,"IT0956A",-34.375
2020-03-24,"IT0956A",-31.5833333333333
2020-03-25,"IT0956A",-26.75
2020-03-26,"IT0956A",-12.9166666666667
2020-03-27,"IT0956A",-15.3333333333333
2020-03-28,"IT0956A",-16.1666666666667
2020-03-29,"IT0956A",-25.0416666666667
2020-03-30,"IT0956A",-17.75
2020-03-31,"IT0956A",-27
2020-04-01,"IT0956A",-31.9583333333333
2020-04-02,"IT0956A",-14.625
2020-04-03,"IT0956A",-16.3333333333333
2020-04-04,"IT0956A",-24.4166666666667
2020-04-05,"IT0956A",-30.8333333333333
2020-04-06,"IT0956A",-18.6666666666667
2020-04-07,"IT0956A",-14.1666666666667
2020-04-08,"IT0956A",-16.875
2020-04-09,"IT0956A",-17.75
2020-04-10,"IT0956A",-16.9166666666667
2020-04-11,"IT0956A",-17.875
2020-04-12,"IT0956A",-26.5
2020-04-13,"IT0956A",-32.375
2020-04-14,"IT0956A",-16.6666666666667
2020-04-15,"IT0956A",-109.25
2020-04-16,"IT0956A",-21.5833333333333
2020-04-17,"IT0956A",-22.0416666666667
